QUID,DWEIGHT_LIVE_FINAL,CS01,CS01_1,CS02,CS02_2,MTS01,MTS02,MTS03,MTS03_1,LMS01,LMS02,LMS02_1,LMS02_s,LMS03,LMS04,LMS05,LMS06,LMS07,LMS07_1,LMS07_2,LMS07_3a,LMS07_3b,LMS08,LMS08_s,LMS09a,LMS09b,LMS09c,LMS09d,LMS09e,LMS09f,LMS09g,LMS09f_s,SMS01a,SMS01b,SMS01c,SMS01d,SMS01d_s,SMS02,SMS03a,SMS03b,SMS03c,SMS03d,SMS04a,SMS04b,SMS04c,SMS04d,SMS04e,SMS04f,SMS04e_s,SMS05,MLA01,MLA02,MLA03,MLA03_1,MLA04,MLA04_1,LMA01,LMA02a_LS,LMA02b_LS,LMA02c_LS,LMA02d_LS,LMA02e_LS,LMA02f_LS,LMA02g_LS,LMA02h_LS,LMA02i_LS,LMA02j_LS,LMA02k_LS,LMA02l_LS,LMA02m_LS,LMA02n_LS,LMA02o_LS,LMA02p_LS,LMA02q_LS,LMA02r_LS,LMA02s_LS,LMA02f_1_LS,LMA02m_1_LS,LMA02q_1_LS,LMA02s_s_LS,LMA03a,LMA03b,LMA03c,LMA03d,LMA04a,LMA04b,LMA04c,LMA04d,LMA04e,LMA05a,LMA05b,LMA05c,LMA05d,LMA05d_1,SMA01,SMA02a,SMA02b,SMA02c,SMA02d,SMA03a,SMA03b,SMA03b_1,SMA04a,SMA04b,SMA04c,SMA04d,SMA04e,PLMA01,PLMA02a_LS,PLMA02b_LS,PLMA02c_LS,PLMA02d_LS,PLMA03a,PLMA03b,PLMA03c,PLMA03d,PLMA03e,PLMA04,PLMA05a,PLMA05b,PLMA05c,PLMA05d,PLMA05d_1,PSMA01,PSMA02a,PSMA02b,PSMA02c,PSMA02d,PSMA03a,PSMA03b,PSMA03c,PSMA03d,PSMA03e,PSMA04,PSMA05,MS04a,MS04b,MS04c,MS04b_s,MS04c_s,SECTORID,PLMA02a,PLMA02b,PLMA02c,PLMA02d,LMA02a,LMA02b,LMA02c,LMA02d,LMA03e,LMA04d_1,prov,ECO,prov_eco,mostcommonbe,mostcommonda,mostcommonpi,mostcommonpo
Q33066191,4.285986749,3,,1,5,1,3,3,,1,1,10,,4,3,,10,3,,,200,100,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,1,130,2,,,,,,1,,,,,,,,,,,,,,1,,,,30,0,70,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,used for running fans and feed production,4,,,,,,,,,,,35,3,3503,,,2,
Q33066226,3.469654577,3,,1,1,1,1,3,,3,2,,,,3,1200000,12,2,,120,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,80,1,130,5,,,,,,1,,,,,,,,,,,1,,,2,,3,,40,0,30,30,1,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,35,4,3504,,1,,
Q33066234,24.76565171,3,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Manure Storage Building,,1,3,1,3,,,,,,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,35,3,3503,3,,,
Q33066247,10.5539343,3,,3,,1,1,3,,3,5,,,,3,,12,2,,70,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,65,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,0,60,20,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,35,3,3503,,1,,
Q33066257,2.230906495,3,,3,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,3,1,,,,,,,1,1,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,drones,autosteer,2,,,,,,,,,,,46,9,4609,1,,,
Q33066270,3.885183766,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,hauled away,,2,2,3,3,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,59,12,5912,,,,3
Q33066276,3.833685593,,,1,5,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,1,3,,,,,1,,Aucune pratique,2,1,,,,1,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,100,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,vidéo et consommation l'eau et balances électroniques,GPS,3,,,,,,,,,,,24,2,2402,,,,3
Q33066288,3.388752967,1,4,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33066291,3.265948261,1,1,3,,1,1,3,,3,2,,,,3,45000000,12,3,,,300,150,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33066292,2.745283683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,99,,
Q33066325,3.832609773,,,,,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,3,3,3,3,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,24,2,2402,,,,3
Q33066326,11.07056601,3,,,,1,1,3,,1,5,,,4,3,3768,12,2,,100,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,50,50,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,1,2401,,1,,
Q33066342,4.539783176,,,1,5,1,1,3,,1,6,,,2,3,572000,10,3,,,450,126,6,under slats,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,600,1,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,3,,,,75,25,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,gps,4,,,,,,,,,,,35,3,3503,,,1,
Q33066347,4.188597478,3,,3,,1,1,3,,1,4,,,3,3,3500000,16,2,,240,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1561,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,0,33,34,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,SEMOIR MAIS GPS,1,,,,,,,,,,,24,1,2401,,1,,
Q33066363,3.247346031,3,,3,,1,1,1,1,3,4,,,,2,600000,27,2,,61,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,250,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,10,50,30,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33066369,3.818145073,,,1,5,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,24,2,2402,,,,3
Q33066370,5.287678896,,,1,5,1,1,1,1,1,5,,,1,3,612000,12,2,,102,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,600,1,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,,,45,,40,15,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,24,2,2402,,,2,
Q33066380,4.096750247,3,,3,,1,1,1,5,1,1,1,,2,3,72000,16,2,,120,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,600,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,60,40,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,24,1,2401,,1,,
Q33066386,3.268478435,3,,3,,1,1,3,,1,1,2,,4,2,50400,12,3,,,80,40,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,120,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,25,30,45,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33066432,10.17756006,3,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,3,3,1,1,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33066454,18.06098592,3,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,1,3,,,,,,1,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,24,1,2401,,,,2
Q33066457,2.948256584,,,3,,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,1,3,1,3,1,,,,1,,only keep once a year for fertilizer on rest of property,1,1,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,100,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,barn air quality,barn ventilation,3,,,,,,,,,,,59,12,5912,,,,3
Q33066467,2.733898369,1,1,3,,1,1,1,5,3,3,,,,3,14000000,8,3,,,280,45,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,90,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,10,50,40,1,,,,,1,,1,1,,,,,,,,,,,,,,,1,1,1,Video surveillance,"Robotics, milk analysis",1,,,,,,,,,,,59,12,5912,,1,,
Q33066469,3.269238251,3,,3,,1,1,3,,1,3,,,3,3,2000000,12,2,,100,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,75,1,80,3,,,,,,1,,,,,,,,,,,,,,2,,,,0,20,40,40,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,robotics,1,,,,,,,,,,,59,12,5912,,1,,
Q33066470,4.208638134,3,,3,,1,1,3,,1,1,22222,,4,2,3000000,12,3,,,150,100,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,125,1,135,5,,,,,,1,,,,,,,,,,,,,,2,,,,10,10,60,20,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33066483,36.36250873,,,1,5,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,10,4810,3,,,
Q33066487,3.863876228,,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,computorcontroller,3,,,,,,,,,,,59,12,5912,,,,3
Q33066493,2.932509782,3,,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,2,2,,,,,,1,,2,1,,3,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,0,25,50,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,35,3,3503,,,,2
Q33066506,8.647785983,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,3,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,24,1,2401,,,,2
Q33066511,6.170098538,3,,1,4,1,3,3,,3,5,,,,3,473000,12,2,,75,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,50,50,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,5,2405,,1,,
Q33066517,4.416513944,1,3,1,1,1,1,3,,3,4,,,,3,2000000,8,2,,70,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,1,400,1,,,,,,1,,,,,,,,,,,,,,1,,,,90,,10,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Pignose,AFS 700,4,,,,,,,,,,,35,3,3503,,,3,
Q33066528,8.687952198,3,,,,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,3,,,,,,1,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Maximus,3,,,,,,,,,,,24,1,2401,,,,2
Q33066564,3.828580818,,,3,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,,,,,,1,,2,1,,,,1,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,100,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,24,2,2402,,,,3
Q33066575,13.34504217,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,10,4810,3,,,
Q33066597,1.55781147,3,,1,1,1,1,3,,1,4,,,1,3,,21,1,185,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,200,1,2000,1,,,,,,1,,,,,,,,1,,,1,,,1,,1,,,,50,50,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Tout autre collecte,Ventilatiobn - Analyse. Toute les fonctions sont informatisées,1,,,,,,,,,,,24,1,2401,,1,,
Q33066605,3.258129557,3,,3,,1,1,3,,3,6,,,,3,2000000,14,3,,,200,200,6,steel,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,110,1,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33066615,4.295374362,3,,3,,1,1,1,5,1,5,,,4,4,750000,12,2,,70,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,211,1,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,45,45,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,24,1,2401,,,3,
Q33066631,1.979702492,,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,ordinateur,3,,,,,,,,,,,24,5,2405,,,,3
Q33066636,3.400504307,3,,1,3,1,1,3,,1,3,,,2,3,6100,14,2,,140,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,1,800,1,,,,,,1,,,,,,,,,,,,,,2,,,,30,0,40,30,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"robotic milkers, auto feed delivery",1,,,,,,,,,,,35,4,3504,,1,,
Q33066639,3.284332087,,,1,2,1,1,3,,1,3,,,3,2,600000,12,2,,360,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,800,2,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,,,50,0,30,20,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"sprayer,planter",4,,,,,,,,,,,35,4,3504,,,3,
Q33066668,3.088428324,,,1,5,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,2,3,3,1,,,,,,,2,1,,,,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,video surveillance   temperatures  water consumption,,3,,,,,,,,,,,48,8,4808,,,,4
Q33066673,2.747428994,3,,,,1,1,1,1,1,3,,,1,1,350000,15,2,,65,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,40,35,20,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,1,,GPS,1,,,,,,,,,,,59,12,5912,,1,,
Q33066719,2.929222079,3,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,1,,,,,,,1,1,,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,0,50,,1,,,,,1,1,1,1,1,"Feed and water consumption, air quality, humidity, heater run time",Computer-Vmax & Maximus to control barn conditions,3,,,,,,,,,,,59,12,5912,,,,3
Q33066720,4.599562822,1,2,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33066724,2.528828736,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,every animal has a tag and number and is followed through life,,2,,,,,,,,,,,59,11,5911,3,,,
Q33066740,2.958820782,,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"collects data, max temp, min temp",ventellation,3,,,,,,,,,,,59,12,5912,,,,3
Q33066747,2.946363034,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,59,12,5912,,,,3
Q33066752,4.340193827,,,,,1,1,1,5,1,1,2,,4,3,100000,10,2,,656,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,24,2,2402,,,,2
Q33066758,2.549258396,3,,1,2,1,1,3,,1,5,,,3,3,1380000,12,2,,140,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,250,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,50,40,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,24,5,2405,,1,,
Q33066765,3.304883893,1,5,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,covered manure storage,,1,3,1,1,,,,,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,broiler chicken weigh system.,barn ventilation computers.,3,,,,,,,,,,,35,3,3503,,,,3
Q33066784,2.785294888,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,1,1,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33066785,3.436416407,,,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,2,3,,,,,,1,,1,1,,,,1,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50,,50,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,ventilation,3,,,,,,,,,,,35,3,3503,,,,3
Q33066791,2.495172226,3,,1,2,1,1,3,,1,1,4,,2,3,100000,10,3,,,275,150,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,300,1,1200,3,,,,,,1,,,,,,,,1,,,1,,,1,,3,,25,0,40,35,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,35,4,3504,,,3,
Q33066797,3.474526222,,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,,,,,,1,,2,1,,,,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,,50,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,35,3,3503,,,,3
Q33066805,6.054954672,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,maximus system,maximus system,3,,,,,,,,,,,35,4,3504,,,,4
Q33066814,2.537970192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,47,7,4707,99,,,
Q33066822,2.693404161,3,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,47,8,4708,1,,,
Q33066823,1.700817701,3,,1,3,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,,33,34,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"combine, tractor, feed trucks, sprayer,",2,,,,,,,,,,,48,6,4806,1,,,
Q33066829,1.979702492,,,1,5,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,3,,,,,,1,,1,1,,,,1,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,60,40,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,VIDEO SURVEILLANCE,GPS,3,,,,,,,,,,,24,5,2405,,,,2
Q33066835,2.116981132,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,covered storage building at back of barn,,1,1,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,35,4,3504,,,,99
Q33066852,2.304910714,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,48,7,4807,3,,,
Q33066862,5.657971564,,,1,5,1,1,3,,1,6,,,3,3,750000,8,3,,,198,98,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,500,1,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,,,20,60,0,20,1,,,,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"GPS, barn ventilation, feed Delivery",4,,,,,,,,,,,35,3,3503,,,2,
Q33066866,5.602392981,3,,1,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,3,3,1,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,6,4806,3,,,
Q33066875,3.816278009,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,2,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,24,2,2402,,,,3
